lat,lon,current_speed,free_flow_speed,congestion_factor
44.360000000000014,26.039999999999985,47.0,61.0,0.2295081967213115
44.360000000000014,26.044999999999984,72.0,72.0,0.0
44.360000000000014,26.049999999999983,72.0,72.0,0.0
44.360000000000014,26.054999999999982,72.0,72.0,0.0
44.360000000000014,26.05999999999998,72.0,72.0,0.0
44.360000000000014,26.06499999999998,72.0,72.0,0.0
44.360000000000014,26.06999999999998,72.0,72.0,0.0
44.360000000000014,26.074999999999978,58.0,58.0,0.0
44.360000000000014,26.079999999999977,58.0,58.0,0.0
44.360000000000014,26.084999999999976,58.0,58.0,0.0
44.360000000000014,26.089999999999975,50.0,50.0,0.0
44.360000000000014,26.094999999999974,50.0,50.0,0.0
44.360000000000014,26.099999999999973,50.0,50.0,0.0
44.360000000000014,26.104999999999972,50.0,50.0,0.0
44.360000000000014,26.10999999999997,126.0,126.0,0.0
44.360000000000014,26.11499999999997,126.0,126.0,0.0
44.360000000000014,26.11999999999997,126.0,126.0,0.0
44.360000000000014,26.124999999999968,60.0,60.0,0.0
44.360000000000014,26.129999999999967,60.0,60.0,0.0
44.360000000000014,26.134999999999966,50.0,50.0,0.0
44.360000000000014,26.139999999999965,60.0,60.0,0.0
44.360000000000014,26.144999999999964,41.0,41.0,0.0
44.360000000000014,26.149999999999963,58.0,58.0,0.0
44.360000000000014,26.154999999999962,58.0,58.0,0.0
44.360000000000014,26.15999999999996,58.0,58.0,0.0
44.360000000000014,26.16499999999996,58.0,58.0,0.0
44.360000000000014,26.16999999999996,58.0,58.0,0.0
44.360000000000014,26.174999999999958,56.0,56.0,0.0
44.360000000000014,26.179999999999957,73.0,95.0,0.2315789473684211
44.360000000000014,26.184999999999956,56.0,56.0,0.0
44.360000000000014,26.189999999999955,49.0,49.0,0.0
44.360000000000014,26.194999999999954,56.0,56.0,0.0
44.360000000000014,26.199999999999953,57.0,57.0,0.0
44.360000000000014,26.204999999999952,56.0,56.0,0.0
44.360000000000014,26.20999999999995,75.0,75.0,0.0
44.360000000000014,26.21499999999995,81.0,81.0,0.0
44.360000000000014,26.21999999999995,75.0,75.0,0.0
44.360000000000014,26.224999999999948,75.0,75.0,0.0
44.365000000000016,25.96,55.0,55.0,0.0
44.365000000000016,25.965,55.0,55.0,0.0
44.365000000000016,25.97,55.0,55.0,0.0
44.365000000000016,25.974999999999998,51.0,51.0,0.0
44.365000000000016,25.979999999999997,58.0,58.0,0.0
44.365000000000016,25.984999999999996,58.0,58.0,0.0
44.365000000000016,25.989999999999995,51.0,51.0,0.0
44.365000000000016,25.994999999999994,51.0,51.0,0.0
44.365000000000016,25.999999999999993,69.0,69.0,0.0
44.365000000000016,26.004999999999992,69.0,69.0,0.0
44.365000000000016,26.00999999999999,69.0,69.0,0.0
44.365000000000016,26.01499999999999,69.0,69.0,0.0
44.365000000000016,26.01999999999999,69.0,69.0,0.0
44.365000000000016,26.024999999999988,67.0,67.0,0.0
44.365000000000016,26.029999999999987,67.0,67.0,0.0
44.365000000000016,26.034999999999986,67.0,67.0,0.0
44.365000000000016,26.039999999999985,52.0,66.0,0.21212121212121215
44.365000000000016,26.044999999999984,52.0,66.0,0.21212121212121215
44.365000000000016,26.049999999999983,52.0,66.0,0.21212121212121215
44.365000000000016,26.054999999999982,72.0,72.0,0.0
44.365000000000016,26.05999999999998,72.0,72.0,0.0
44.365000000000016,26.06499999999998,58.0,58.0,0.0
44.365000000000016,26.06999999999998,50.0,50.0,0.0
44.365000000000016,26.074999999999978,58.0,58.0,0.0
44.365000000000016,26.079999999999977,58.0,58.0,0.0
44.365000000000016,26.084999999999976,58.0,58.0,0.0
44.365000000000016,26.089999999999975,50.0,50.0,0.0
44.365000000000016,26.094999999999974,50.0,50.0,0.0
